"Баг, хороо","Баг, хорооны код",Малын төрөл,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
                    Баян,34116,Адуу,11.48,11.08,11.17,10.86,11.69,12.55,11.38,10.67,10.87,10.9,10.71,10.86,11.18,9.8,9.47,9.75,10.37,10.94,11.37,12.1,12.79,12.81,12.9,13.31,11.65,12.04,12.89,14.3,15.84,16.45,12.85,4.66,4.62,5.25,5.85,7.14,8.02,6.99,4.89,6.22,4.99,5.81,7.394,8.913,11.484,14.626,16.215,17.335,16.409,15.688,15.66
                    Баян,34116,Үхэр,5.26,5.31,5.47,7.11,6.07,6.59,5.87,4.27,4.86,5.26,5,5.14,5.4,5.03,4.67,4.87,5.43,5.4,5.14,5.16,5.35,4.39,4.54,5.11,3.86,4.31,4.9,5.86,6.51,6.49,5.31,0.99,0.99,1.29,1.54,2.04,2.64,2.7,2.14,2.62,1.89,2.25,2.827,4.157,6.212,7.785,7.72,8.151,7.229,7.185,7.475
                    Баян,34116,Тэмээ,1.17,1.12,1.21,1.17,1.24,1.28,1.24,1.14,1.26,1.29,1.33,1.4,1.48,1.5,1.44,1.33,1.38,1.35,1.41,1.46,1.49,0.83,0.65,0.5,0.3,0.31,0.3,0.29,0.31,0.34,0.27,0.24,0.21,0.22,0.2,0.18,0.19,0.18,0.15,0.22,0.2,0.18,0.163,0.151,0.112,0.109,0.109,0.106,0.11,0.092,0.07
                    Баян,34116,Хонь,53.75,51.26,53.25,50.41,62.17,61.6,45.43,32.5,37.92,40.44,42.2,45.77,47.41,45.01,40.68,40.61,40.36,37.56,35,35.87,40.45,32.69,37.98,41.1,30.45,30.87,31.8,35.39,40.92,42.76,36.59,16.84,15.71,18.19,20.1,24.7,30.2,31.6,33.49,47.27,28.66,32.5,39.272,44.331,55.588,69.931,78.741,87.495,90.3,85.903,84.311
                    Баян,34116,Ямаа,7.15,6.69,7.24,7.74,8.26,8.31,6.33,5.14,6.09,7,6.16,6.79,7.15,6.01,5.69,5.4,5.69,5.25,5.12,5.46,5.7,5.07,6.24,7.64,6.7,8.09,10.19,11.93,14.58,13.97,12.1,6.05,7.02,9.4,11.58,15.96,19.82,21.51,22.52,33.29,17.43,21.43,25.705,29.067,37.197,44.681,48.486,53.362,53.5,50.899,47.337
                    Баяндэлгэр,34119,Бүгд,52.4,62.48,54.18,54.01,60.14,56.41,47.03,38.54,41.75,42.31,42.15,45.97,47.15,47.42,44.85,47.75,52.51,53.52,55.01,59.67,62.47,54.5,55.13,55.55,54.91,65.99,65.05,70.34,75.98,61.21,57.69,56.67,61.99,65.25,64.27,67.63,79.58,90.89,105.87,124.16,106.22,116.59,127.396,139.196,155.672,165.001,182.861,183.777,192.805,212.041,212.682
                    Баяндэлгэр,34119,Адуу,5.43,12.86,5.35,5.35,5.44,5.99,5.7,5.18,5.15,5.14,5.09,5.15,5.07,4.98,4.8,4.98,5.25,5.43,5.89,6.19,6.25,5.75,5.46,5.76,6.18,7.83,7.61,7.7,7.86,6.93,6.65,6.26,6.64,6.86,6.9,7.19,7.38,7.82,8.02,8.42,8.03,8.95,10.196,11.651,13.179,13.988,15.517,14.907,15.322,15.964,15.465
                    Баяндэлгэр,34119,Үхэр,6.88,5.48,7.16,5.61,8.72,10,9.49,8.08,8.13,8.05,7.78,8.41,8.72,8.68,8.11,8.36,9.04,9.4,9.14,9.66,9.85,7.87,7.52,7,6.82,8.29,8.66,8.81,8.5,5.21,4.43,3.45,3.64,3.63,3.5,3.86,4.35,5.4,5.96,6.5,5.67,5.97,6.795,8.269,10.099,10.876,11.965,12.329,12.224,13.414,14.396
                    Баяндэлгэр,34119,Тэмээ,0.3,1.04,0.26,0.24,0.25,0.25,0.24,0.2,0.18,0.19,0.19,0.19,0.16,0.17,0.13,0.13,0.13,0.14,0.14,0.15,0.12,0.08,0.06,0.07,0.08,0.1,0.12,0.12,0.1,0.11,0.1,0.1,0.1,0.09,0.07,0.04,0.04,0.02,0.04,0.08,0.06,0.14,0.135,0.149,0.146,0.201,0.202,0.141,0.09,0.062,0.058
                    Баяндэлгэр,34119,Хонь,36.17,30.76,37.53,38.74,41.44,35.8,27.9,22.07,25.14,25.96,25.91,28.46,29.13,29.33,27.36,29.8,33.18,33.62,34.72,38.24,40.88,36.57,37.39,37.06,35.06,40.39,37.87,40.61,44.79,37.14,34.46,33.37,35.1,35.99,34.82,36.88,43.85,49.88,58.49,68.41,57.57,63.4,69.687,76.615,84.047,87.521,96.476,100.299,104.858,114.963,113.327
                    Баяндэлгэр,34119,Ямаа,3.61,12.35,3.88,4.06,4.29,4.37,3.7,3,3.14,2.98,3.17,3.76,4.07,4.26,4.45,4.49,4.9,4.94,5.12,5.43,5.37,4.24,4.7,5.67,6.78,9.38,10.79,13.11,14.73,11.83,12.05,13.49,16.51,18.69,18.97,19.66,23.97,27.78,33.37,40.75,34.89,38.13,40.583,42.512,48.201,52.415,58.701,56.101,60.311,67.638,69.436
                    Баянжаргалан,34122,Бүгд,60.14,51.06,65.99,72.62,73.32,69.99,60.72,52.1,55.82,58.01,58.53,60.65,61.26,59.53,53.95,55.73,59.67,59.15,58.99,62.4,66.55,56.28,57.97,59.15,58.43,62.42,67.79,74.9,88.04,102.48,93.42,58.82,62.18,71.83,84.05,101.22,114.81,133.8,133.54,127.24,92.89,100.57,114.372,135.742,160.326,184.008,206.517,217.712,206.542,213.07,191.21
                    Баянжаргалан,34122,Адуу,9.76,5.24,9.62,9.12,9.75,10.23,9.46,8.78,8.91,9.18,9.24,9.36,9.34,8.82,8.04,8.28,8.77,9.06,8.88,9.47,9.82,9.83,9.12,9.14,9.4,10.16,10.7,11.55,12.92,14.14,11.84,6.69,7.17,8.49,9.84,11.43,12.11,12.32,9.83,7.41,6.36,7.13,8.381,10.698,13.451,15.635,18.076,18.438,16.245,16.929,15.648
                    Баянжаргалан,34122,Үхэр,5.21,6.81,5.49,8.11,6.24,6.6,6.02,5.21,5.72,6.08,6.06,6.14,6.11,5.87,4.72,4.73,5.05,5.14,5.09,5.27,5.59,5.2,5.13,5.64,5.68,6.25,7.05,8.08,9.23,10.5,8.31,2.19,2.08,2.61,3.18,3.87,4.5,5.17,4.8,3.63,2.47,2.62,3.501,4.459,6.042,7.137,8.323,9.047,8.333,8.783,9.058
                    Баянжаргалан,34122,Тэмээ,1.08,0.27,1.08,1.09,1.13,1.17,1.07,0.98,1.04,1.08,1.15,1.14,1.13,1.13,1.05,1.01,1.03,1.05,1.04,1.09,1.14,0.8,0.57,0.46,0.46,0.47,0.47,0.51,0.55,0.58,0.57,0.46,0.46,0.5,0.52,0.53,0.55,0.52,0.5,0.46,0.32,0.33,0.285,0.369,0.393,0.386,0.441,0.438,0.397,0.36,0.294
                    Баянжаргалан,34122,Хонь,35.5,35.3,39.69,43.45,45.06,40.98,34.6,28.63,30.49,31.87,32.1,33.37,33.69,33.89,31.5,32,34.04,33.58,34.06,35.01,37.97,31.65,33.37,32.25,31.01,31.12,33.22,35.78,42.41,52.57,50.25,34.54,34.45,38.18,43.81,53.14,59.97,69.71,72.24,71.93,53.19,56.2,62.673,75.225,88.513,101.767,116.684,127.203,123.52,127.353,113.203
                    Баянжаргалан,34122,Ямаа,8.59,3.44,10.11,10.85,11.14,11.02,9.58,8.49,9.66,9.82,9.98,10.64,10.98,9.83,8.65,9.71,10.79,10.33,9.92,11.58,12.02,8.8,9.78,11.67,11.87,14.43,16.36,18.99,22.93,24.7,22.47,14.94,18.01,22.05,26.71,32.24,37.69,46.09,46.18,43.82,30.55,34.29,39.532,44.991,51.927,59.083,62.993,62.586,58.047,59.645,53.007
