"Баг, хороо","Баг, хорооны код",Малын төрөл,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
                Баянгол,26210,Тэмээ,3.18,2.8,2.77,2.78,2.75,2.84,2.88,2.98,2.72,2.64,2.51,2.58,2.54,2.4,2.35,2.24,2.29,2.26,2.35,2.38,2.41,2.05,1.81,1.95,2.01,2.02,1.97,2.01,2.02,1.95,1.54,1.35,1.4,1.51,1.53,1.49,1.45,1.5,1.63,1.67,1.37,1.48,1.857,2.05,2.151,2.237,2.479,2.848,3.078,3.162,2.974
                Баянгол,26210,Хонь,92.85,94.77,100.68,103.96,105.95,107.87,110.19,111,101.55,104.6,109.08,110.19,117.17,90.85,96.97,94.66,98.49,103.62,102.12,114.55,121.93,125.67,134.16,128.28,124.9,126.74,125.22,138.22,150.57,142.26,90.05,93.21,98.88,110.39,121.47,121.37,135.31,153.1,166.66,164.39,56.21,71.5,92.802,114.419,138.528,164.314,195.126,230.106,234.632,213.349,169.807
                Баянгол,26210,Ямаа,21.27,21.87,24.95,26.14,25.65,26.97,28.07,28.43,28.61,28.67,30.08,28.9,32.53,27.19,26.14,26.58,29.71,27.57,28.46,34.76,37.52,41.56,43.38,47.97,53.24,63.29,59.53,73.57,83.57,68.24,43.39,52.73,63.45,74.64,86.38,79.23,90.21,109.06,120.76,109.05,36.36,52.65,69.568,90.896,114.752,132.975,152.553,170.394,160.136,149.37,119.919
                    Баян-Өндөр,26213,Бүгд,132.79,126.06,124.04,124.3,134.78,137.35,128.39,122.37,133.46,136.94,138.39,135.53,140.08,105.92,113.78,113.45,115.43,117.33,127.44,136.11,146.57,127.03,127.89,127.16,142.41,159.43,170.57,185.72,203.4,203.72,119,123.77,106.38,121.3,137.61,161.83,190.82,232.41,218.74,232.93,163.06,198.7,256.222,289.356,328.621,340.934,374.939,412.057,377.717,353.125,315.732
                    Баян-Өндөр,26213,Адуу,20.85,18.26,17.04,15.01,15.72,15.87,16.09,16.17,17.09,17.29,15.63,13.21,13.93,13.19,13.79,14.71,15.49,15.81,17.52,19.05,20.12,20.12,15.55,16.35,18.86,21.82,23.42,24.49,27.47,27.18,12.65,12.48,9.84,10.27,11.51,12.9,15.29,17.95,13.65,14.63,11.1,13.25,16.037,18.696,21.923,23.401,25.584,28.202,23.725,23.264,20.045
                    Баян-Өндөр,26213,Үхэр,10.07,10.3,10.03,9.47,10.11,10.85,11.38,10.77,11.03,11.05,10.19,7.83,8.04,7.61,8.11,8.66,8.85,8.89,9.25,9.83,10.59,10.37,10.69,11.54,13.21,15.58,17.32,19.06,18.64,18.06,6.31,5.58,5.08,4.91,5.57,6.89,8.46,10.43,8.25,7.87,5.68,6.51,8.469,10.719,13.104,15.006,16.551,18.73,15.463,14.233,12.367
                    Баян-Өндөр,26213,Тэмээ,1.71,1.6,1.52,1.46,1.47,1.51,1.48,1.41,1.41,1.45,1.45,1.38,1.41,1.42,1.36,1.31,1.32,1.31,1.39,1.4,1.41,1.25,0.83,0.94,0.98,1.02,0.97,0.98,0.96,0.96,0.54,0.41,0.38,0.49,0.46,0.46,0.48,0.48,0.38,0.41,0.36,0.38,0.459,0.464,0.506,0.558,0.625,0.708,0.646,0.594,0.319
                    Баян-Өндөр,26213,Хонь,80.46,77.02,76.45,79.03,86.76,88.53,80.5,75.95,83.96,86.55,89.81,92.58,94.31,64.98,70.49,68.84,69.27,71.41,77.78,81.24,88.3,71.66,76.64,72.59,78.34,83.4,86.87,93.82,102.69,105.15,69.11,70.76,58.26,63.54,70.37,82.58,97.81,118.69,114.67,125.59,88.89,107.44,142.327,160.342,180.223,186.089,206.299,228.112,216.033,198.444,178.757
                    Баян-Өндөр,26213,Ямаа,19.7,18.89,19,19.33,20.73,20.59,18.94,18.08,19.97,20.6,21.32,20.53,22.38,18.73,20.03,19.94,20.51,19.91,21.5,24.6,26.15,23.64,24.19,25.74,31.01,37.61,41.98,47.37,53.63,52.36,30.39,34.54,32.82,42.09,49.71,59,68.78,84.87,81.78,84.43,57.03,71.12,88.93,99.135,112.865,115.88,125.88,136.305,121.85,116.59,104.244
                    Богд,26216,Бүгд,144.27,133.09,142.82,146.77,160.94,164.36,165.03,159.17,167.73,161.26,153.18,154.15,162.31,165.58,155.06,131.53,143.02,145.93,155.5,170.67,158.13,164.75,164.94,190.62,217.31,247.15,232.73,256.36,260.21,276.46,246.82,241.69,159.7,176.69,190.75,181.32,184.09,218.07,245.32,282,178.66,218.48,242.957,283.768,324.942,344.728,398.735,454.726,473.859,514.547,314.156
