"Баг, хороо","Баг, хорооны код",Малын төрөл,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
                    Гурванзагал,42116,Ямаа,3.89,4.2,4.65,4.78,4.91,5.39,4.34,4.69,5.49,5.6,4.67,5.36,4.2,3.67,3.21,3.23,3.22,3.31,3.62,3.34,3.07,2.29,2.1,2.02,2.31,2.2,2.54,3.35,4.14,4.42,4.66,4.85,6.43,8.65,8.93,12.07,15.56,23.52,27.04,23.3,16.31,20.04,22.676,22.55,27.286,30.025,33.858,42.701,49.945,55.767,56.411
                    Дашбалбар,42119,Бүгд,120.13,122.72,125.76,129.94,123.17,127.74,120.53,117.41,123.63,123.37,112.56,124.75,125.67,120.9,121.7,116.36,112.67,113.55,106.36,106.35,111.78,107,95.46,81.88,75.32,64.13,64,71.01,80.94,89.08,95,90.59,93.19,102.46,105.21,114.36,125.1,138.59,155.53,167.32,157.19,164.45,158.129,163.486,181.905,197.86,218.509,255.412,292.137,311.11,322.369
                    Дашбалбар,42119,Адуу,7.79,8.04,7.66,7.77,8.26,8.39,8.37,7.48,7.16,7.38,5.26,5.72,5.93,6.17,6.56,6.69,6.92,7.09,7.37,7.6,7.75,8.8,7.85,8.24,8.58,7.92,7.9,7.96,8.25,8.7,9.17,9.65,10.64,11.72,12.51,13.11,13.48,13.35,14.15,14.16,14.82,15.59,15.537,15.953,17.418,18.589,19.807,20.407,21.93,22.59,22.636
                    Дашбалбар,42119,Үхэр,9.25,9.49,9.17,9.2,9.3,9.37,9.31,9.39,9.69,9.49,8.63,9.2,9.29,8.76,8.55,8.54,8.29,8.44,8.13,8.49,9.07,8.48,8.69,8.1,8.55,7.92,8.21,9.7,10.55,11.67,12.41,9.24,8.85,9.64,9.07,9.42,9.78,9.96,10.44,10.78,11.04,11.58,11.772,12.25,13.292,14.197,15.698,18.208,20.675,22.57,24.152
                    Дашбалбар,42119,Тэмээ,2.04,2.17,2.14,2.11,2.19,2.26,2.34,2.34,2.37,2.36,1.79,1.98,2.02,2.15,2.21,2.23,2.28,2.12,2.19,2.18,2.1,1.61,1.26,1.11,0.95,0.77,0.69,0.64,0.62,0.6,0.64,0.63,0.65,0.63,0.63,0.62,0.6,0.58,0.58,0.63,0.64,0.61,0.525,0.51,0.568,0.598,0.635,0.551,0.579,0.658,0.596
                    Дашбалбар,42119,Хонь,94.67,96.31,99.72,103.53,96.28,100.1,93.19,90.64,96.77,96.4,90.34,100.2,101.17,96.24,96.56,91.08,87.69,88.42,81.76,81.25,86.27,81.68,71.3,57.95,49.72,39.96,38.44,42.11,48.96,54.69,58,54.54,53.12,56.27,57.33,61.39,65.96,72.41,80.85,87.65,86.43,90.76,87.609,92.863,102.387,111.654,126.593,148.886,171.147,183.885,192.172
                    Дашбалбар,42119,Ямаа,6.38,6.7,7.08,7.34,7.14,7.63,7.33,7.56,7.64,7.74,6.55,7.66,7.27,7.58,7.82,7.82,7.48,7.49,6.9,6.83,6.59,6.43,6.36,6.49,7.52,7.56,8.77,10.61,12.55,13.42,14.79,16.55,19.93,24.2,25.67,29.82,35.28,42.3,49.51,54.11,44.26,45.91,42.686,41.91,48.24,52.822,55.776,67.36,77.806,81.407,82.813
                    Матад,42122,Бүгд,85.54,84.31,84.23,85.81,87.12,90.6,82.18,75.88,84.51,83.62,81.09,88.56,89.69,88.72,83.23,79.56,74.73,75.05,76.19,74.95,70.64,65.81,60.05,52.32,45.88,42.09,42.99,44.11,47.27,51.3,54.01,54.04,56.97,63.25,65.29,66.44,80.16,89.7,95.54,92.25,90.52,84.86,86.685,86.287,93.957,104.392,117.5,145.759,164.907,184.529,208.945
                    Матад,42122,Адуу,9.4,10.09,10,10.65,10.9,11.55,11.17,10.91,10.25,10.7,9.34,9.83,10.12,9.64,9.85,9.34,8.14,8.19,8.22,8.26,8.06,7.99,8.21,8.34,8.36,8.2,8.72,9.05,9.44,9.73,9.82,10.28,10.72,11.77,12.05,12.36,13.61,14.08,13.9,13.14,14.11,14.51,15.681,15.738,16.935,18.937,22.62,25.856,29.242,31.294,36.59
                    Матад,42122,Үхэр,7.44,7.43,7.15,7.01,7.29,7.45,7.33,7.31,8.03,7.7,7.66,7.93,7.56,7.63,7.26,7.47,7.78,7.5,7.57,7.68,7.1,6.95,7.09,6.81,7.09,7.5,7.99,8.53,9.36,10.2,10.18,8.32,8.5,9.17,9.43,8.32,9.26,10.33,10.19,10.97,11.47,10.84,11.693,12.634,13.702,14.891,15.85,18.649,22.066,25.034,29.193
